,Name,Colour,Price in Rouble,Price in Tenge,Evaluation,In stock,Url
28,DELL XPS 9305,серебристый,124440,746640,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-dell-xps-9305-intel-evo-i7-1165g7-16gb-ssd512gb-13-3-fhd-w10-1494675/
29,DELL XPS 9305,серебристый,108400,650400,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-dell-xps-9305-intel-evo-i5-1135g7-8gb-ssd512gb-13-3-fhd-w10-s-1494604/
30,DELL XPS 13 9305,серебристый,123200,739200,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-dell-xps-13-9305-i7-1165g7-8gb-ssd512gb-13-3-wva-fhd-w10pro-s-1483208/
31,Ультрабук-трансформер DELL Latitude 5320 2-in-1,серый,119150,714900,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-transformer-dell-latitude-5320-2-in-1-i7-1185g7-16gb-ssd512gb-1477598/
32,Ультрабук-трансформер DELL Latitude 5320 2-in-1,серый,91690,550140,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-transformer-dell-latitude-5320-2-in-1-i5-1135g7-8gb-ssd256gb-1477588/
33,DELL Latitude 5320,серый,64490,386940,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-dell-latitude-5320-i5-1135g7-8gb-ssd256gb-13-3-ips-fhd-lin-gr-1477561/
34,DELL XPS 13,серебристый,168780,1012680,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-dell-xps-13-9310-13-4-intel-core-i7-1185g7-16gb-1tb-ssd-intel-1460412/
35,DELL XPS 13,серебристый,145730,874380,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-dell-xps-13-9310-13-4-intel-core-i7-1185g7-16gb-512gb-ssd-int-1459120/
36,ACER Swift 3 SF314-59-591L,синий,65990,395940,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-59-591l-14-ips-intel-core-i5-1135g7-8gb-51-1440091/
37,ACER Swift 3X SF314-510G-50HM,золотистый,79680,478080,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-50hm-14-ips-intel-core-i5-1135g7-8gb-1440087/
38,ACER Swift 3X SF314-510G-74N2,золотистый,95610,573660,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-74n2-14-ips-intel-core-i7-1165g7-16gb-1440086/
39,ACER Swift 3X SF314-510G-592W,синий,79700,478200,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-592w-14-ips-intel-core-i5-1135g7-8gb-1440085/
40,ACER Swift 3X SF314-510G-500R,синий,72290,433740,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-500r-14-ips-intel-core-i5-1135g7-8gb-1440084/
41,ACER Swift 3X SF314-510G-782K,синий,95610,573660,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-782k-14-ips-intel-core-i7-1165g7-16gb-1440080/
42,ACER Swift 3X SF314-510G-745A,синий,93850,563100,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-745a-14-ips-intel-core-i7-1165g7-16gb-1440079/
43,ACER Swift 3X SF314-510G-7734,синий,99990,599940,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-7734-14-ips-intel-core-i7-1165g7-16gb-1440077/
44,ACER Swift 3X SF314-510G-77P5,синий,109990,659940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-77p5-14-ips-intel-core-i7-1165g7-16gb-1440073/
45,ACER Swift 3 SF313-53-5153,серебристый,62990,377940,,в 2 магазинах,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf313-53-5153-13-5-ips-intel-core-i5-1135g7-8gb-1440061/
46,ACER Swift 3 SF313-53-71DP,серебристый,77990,467940,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf313-53-71dp-13-5-ips-intel-core-i7-1165g7-16gb-1440055/
47,ACER Swift 3 SF313-53G-501C,серебристый,69990,419940,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf313-53g-501c-13-5-ips-intel-core-i5-1135g7-8gb-1440053/
